						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
2			2009   				1				1				0				1
3			2021   				2				0				1				1
4			2016   				2				1				1				2
4			2019   				2				1				1				2
5			2000   				1				1				3				4
5			2005   				1				1				3				4
5			2008   				1				2				2				4
5			2037   				4				0				1				1
6			2011   				2				0				4				4
6			2013   				2				0				4				4
6			2015   				2				0				4				4
6			3   				2				H				0				4
7			2038   				4				2				1				3
7			2060   				6				0				1				1
7			2061   				6				0				1				1
7			2055   				6				0				1				1
7			2057   				6				0				1				1
8			2002   				1				3				4				7
8			2044   				5				0				3				3
8			2047   				5				0				3				3
9			45   				9				H				0				0
9			2030   				3				2				4				6
10			26   				6				1				3				4
10			9   				2				0				8				8
10			2007   				1				2				7				9
11			2095   				10				0				1				1
11			2096   				10				0				1				1
12			2036   				4				3				5				8
12			2058   				6				1				5				6
12			2069   				8				3				1				4
12			2022   				3				1				8				9
12			2032   				3				6				3				9
12			2087   				9				0				3				3
13			2045   				5				3				5				8
13			2023   				3				1				9				10
13			2024   				3				1				9				10
13			2026   				3				1				9				10
14			2027   				3				1				10				11
14			2029   				3				1				10				11
15			2018   				2				6				7				13
16			2049   				5				0				11				11
16			2131   				15				0				1				1
16			2130   				15				0				1				1
16			2129   				15				0				1				1
16			2123   				15				0				1				1
17			2031   				3				2				12				14
17			2039   				4				9				4				13
17			2067   				8				2				7				9
17			2116   				14				0				3				3
17			2115   				14				0				3				3
17			2114   				14				0				3				3
17			2056   				6				4				7				11
17			2059   				6				4				7				11
18			2062   				6				5				7				12
18			2034   				4				2				12				14
18			2035   				4				2				12				14
19			2040   				4				3				12				15
19			2042   				4				3				12				15
19			2043   				4				3				12				15
19			2113   				14				4				1				5
19			2142   				18				0				1				1
19			2138   				18				0				1				1
19			2141   				18				0				1				1
20			2070   				8				5				7				12
20			2127   				15				1				4				5
20			2148   				19				0				1				1
20			2153   				19				0				1				1
20			2135   				18				0				2				2
20			2108   				13				0				7				7
22			2072   				8				5				9				14
22			2121   				15				3				4				7
22			2161   				21				0				1				1
22			2164   				21				0				1				1
22			2048   				5				3				14				17
23			2155   				21				2				0				2
24			2051   				5				4				15				19
24			2052   				5				4				15				19
24			2132   				18				2				4				6
24			2184   				23				0				1				1
24			2181   				23				0				1				1
24			2053   				5				4				15				19
24			2054   				5				4				15				19
25			2097   				10				7				8				15
25			2151   				19				4				2				6
26			2063   				6				5				15				20
26			2064   				6				5				15				20
26			2065   				6				5				15				20
26			2103   				13				11				2				13
26			2190   				25				0				1				1
27			2066   				8				4				15				19
27			2094   				10				5				12				17
27			2102   				13				0				14				14
27			2202   				26				0				1				1
27			2068   				8				5				14				19
27			2071   				8				5				14				19
28			2109   				13				1				14				15
29			2120   				14				0				15				15
29			2230   				28				0				1				1
29			193   				25				H				0				4
30			2073   				8				5				17				22
30			2112   				14				2				14				16
30			2111   				14				8				8				16
30			2119   				14				8				8				16
31			2139   				18				3				10				13
31			2245   				30				0				1				1
31			2246   				30				0				1				1
31			2077   				9				5				17				22
32			2125   				15				8				9				17
32			2078   				9				6				17				23
32			2260   				31				0				1				1
32			2253   				31				0				1				1
32			2258   				31				0				1				1
32			2080   				9				6				17				23
32			2082   				9				6				17				23
32			2083   				9				6				17				23
33			2086   				9				6				18				24
34			169   				22				H				0				12
34			2089   				10				7				17				24
34			2091   				10				7				17				24
34			2092   				10				7				17				24
35			2088   				10				7				18				25
35			2284   				34				0				1				1
35			2098   				10				7				18				25
36			2171   				22				5				9				14
36			2173   				22				0				14				14
36			2293   				35				0				1				1
37			2303   				36				0				1				1
38			2169   				22				5				11				16
38			2263   				31				5				2				7
39			2099   				13				6				20				26
41			2350   				40				0				1				1
41			299   				41				H				0				0
41			2166   				22				7				12				19
41			2167   				22				7				12				19
42			2215   				27				1				14				15
42			2351   				40				0				2				2
42			2344   				40				0				2				2
42			2345   				40				0				2				2
43			2118   				14				8				21				29
43			2214   				27				8				8				16
43			2272   				33				9				1				10
43			2137   				18				8				17				25
44			2124   				15				8				21				29
44			2106   				13				31				0				31
44			2128   				15				8				21				29
45			2189   				25				8				12				20
45			2372   				44				0				1				1
45			2371   				44				0				1				1
45			2370   				44				0				1				1
45			2369   				44				0				1				1
46			2294   				35				3				8				11
48			2134   				18				7				23				30
49			2323   				38				9				2				11
49			2404   				48				0				1				1
50			2136   				18				8				24				32
50			2144   				19				7				24				31
